,,,,,,,,,,,Session1,,Session2,,Session3,,Session4,,Session5,,Session6,,Session7,,Session8,
RowLabels,Capacity withot Buffer,Capacity,ME  ,EC  ,EE  ,CE  ,CS  ,OT1,OT2,OT3,ME1,EC1,ME2,EC2,ME3,OT1,EC3,OT2,CE1,CS1,CE2,CS2,EE1,,EE2,OT3
Tezpur,175.5,195,184,171,65,141,125,116,132,113,88,88,88,88,9,116,0,132,88,88,53,37,32.5,,32.5,113
Nashik,1710,1900,3170,1793,1085,1358,1937,197,256,506,855,855,855,855,1460,197,83,256,855,855,503,1082,542.5,,542.5,506
Shillong,117,130,50,127,84,142,145,61,80,30,59,59,59,59,0,61,10,80,59,59,84,87,42,,42,30
Vadakara,140.4,156,72,120,91,129,97,74,25,19,70,70,70,70,0,74,0,25,70,70,59,27,45.5,,45.5,19
Mysore,666,740,1057,965,659,879,792,201,215,165,333,333,333,333,391,201,299,215,333,333,546,459,329.5,,329.5,165
PortBlair,81,90,18,47,3,66,15,7,2,4,41,41,41,41,0,7,0,2,41,41,26,-26,1.5,,1.5,4
Udaipur-Chittorgarh,495,550,719,377,612,388,308,197,106,231,248,248,248,248,224,197,0,106,248,248,141,61,306,,306,231
Hassan,297,330,372,341,140,328,224,37,10,31,149,149,149,149,75,37,44,10,149,149,180,76,70,,70,31
Bidar,178.2,198,260,196,85,215,112,6,5,26,89,89,89,89,82,6,18,5,89,89,126,23,42.5,,42.5,26
Muvattupuzha,216,240,296,449,216,372,227,34,37,35,108,108,108,108,80,34,233,37,108,108,264,119,108,,108,35
Sambalpur,342,380,441,196,452,270,145,135,97,136,171,171,171,171,99,135,0,97,171,171,99,-26,226,,226,136
Alappuzha,243,270,323,365,232,341,270,40,51,50,122,122,122,122,80,40,122,51,122,122,220,149,116,,116,50
Hamirpur-Una,489.6,544,738,446,311,618,273,111,175,98,245,245,245,245,248,111,0,175,245,245,373,28,155.5,,155.5,98
Aluva,302.4,336,344,431,268,354,336,130,62,75,151,151,151,151,42,130,129,62,151,151,203,185,134,,134,75
Bhuj,225,250,283,94,199,143,31,36,6,64,113,113,113,113,58,36,0,6,113,113,31,-82,99.5,,99.5,64
Kolar,138.6,154,129,139,38,58,80,2,2,8,69,69,69,69,0,2,0,2,69,69,-11,11,19,,19,8
Palakkad,464.4,516,622,732,437,335,402,158,72,110,232,232,232,232,158,158,268,72,232,232,103,170,218.5,,218.5,110
Sirmaur,153,170,35,11,9,34,3,2,3,2,77,77,77,77,0,2,0,3,77,77,-43,-74,4.5,,4.5,2
Payyanur,205.2,228,131,164,109,183,106,54,39,13,103,103,103,103,0,54,0,39,103,103,80,3,54.5,,54.5,13
Nedumangad,199.8,222,219,294,104,167,105,29,42,22,100,100,100,100,19,29,94,42,100,100,67,5,52,,52,22
