Zone, Enrollment, PwD-Status, PaperCode1, PaperCode2, registrationId1, registrationId1, City-Choice1, City-Choice2, City-Choice3, ChoiceNumber
Zone3, C121P92, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C115Q59, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C124P51, false, CY, null, null, null, 27, 18, 33, -1
Zone3, C122G42, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C120M21, false, CY, null, null, null, 27, 20, 18, -1
Zone4, C108C58, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C126E99, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C121P85, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C128D14, false, BT, null, null, null, 27, 18, 21, -1
Zone5, C113U69, true, PH, null, null, null, 36, 39, 18, -1
Zone4, C122E98, false, BL, null, null, null, 31, 30, 44, -1
Zone3, C121X95, false, MS, null, null, null, 27, 18, 35, -1
Zone3, C120D75, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C105V80, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C127A65, false, CY, null, null, null, 27, 18, 20, -1
Zone5, C119S95, false, MA, MS, null, null, 37, 40, 20, 1
Zone3, C123R88, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C121R40, false, MS, null, null, null, 27, 18, 21, -1
Zone3, C121Q69, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C102Y24, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C123R62, false, CY, null, null, null, 27, 18, 35, -1
Zone3, C115G41, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C117Y81, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C122Q17, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C114P66, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C121H45, false, CY, null, null, null, 27, 20, 18, -1
Zone3, C118B97, false, MS, null, null, null, 27, 18, 21, -1
Zone3, C114P53, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C113Y29, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C121S70, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C112N94, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118N57, false, CY, null, null, null, 27, 20, 18, -1
Zone3, C116J87, false, CY, null, null, null, 27, 18, 19, -1
Zone3, C120X13, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C119E80, false, CY, null, null, null, 27, 21, 19, -1
Zone3, C117N91, false, GG, null, null, null, 27, 18, 21, -1
Zone3, C121G41, false, CY, null, null, null, 27, 19, 20, -1
Zone3, C113W37, false, MS, null, null, null, 27, 18, 20, -1
Zone3, C116K80, false, CY, null, null, null, 27, 18, 21, -1
Zone4, C120V74, false, BT, null, null, null, 31, 30, 34, -1
Zone3, C121W30, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C121W29, false, CY, null, null, null, 27, 18, 22, -1
Zone3, C121W15, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C121Y53, false, GG, null, null, null, 31, 30, 34, -1
Zone3, C123Z33, false, CY, null, null, null, 27, 21, 22, -1
Zone3, C111G30, false, CY, null, null, null, 27, 18, 35, -1
Zone3, C122G87, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C111T16, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C121R65, false, CY, null, null, null, 27, 18, 20, -1
Zone5, C120H62, true, CY, null, null, null, 38, 41, 23, -1
Zone3, C118C76, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C108J77, false, CY, null, null, null, 27, 21, 22, -1
Zone3, C122G82, true, CY, null, null, null, 18, 21, 19, -1
Zone3, C122A81, false, MS, null, null, null, 27, 18, 40, -1
Zone3, C122G97, false, CY, null, null, null, 27, 18, 21, -1
Zone5, C117H19, true, MS, null, null, null, 41, 36, 40, 1
Zone3, C106R93, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C118H34, false, MS, null, null, null, 27, 18, 40, -1
Zone3, C122H13, false, CY, null, null, null, 27, 18, 37, -1
Zone3, C121W31, false, CY, null, null, null, 27, 18, 22, -1
Zone4, C121N85, false, PH, null, null, null, 31, 30, 1, -1
Zone3, C102T82, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118R34, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C120V95, false, CY, null, null, null, 27, 18, 20, -1
